time,open,high,low,close,tick_volume,spread,real_volume
31795200,0.5369,0.5369,0.5369,0.5369,1,50,0
31881600,0.5366,0.5366,0.5366,0.5366,1,50,0
31968000,0.5365,0.5365,0.5365,0.5365,1,50,0
32054400,0.5368,0.5368,0.5368,0.5368,1,50,0
32140800,0.5371,0.5371,0.5371,0.5371,1,50,0
32400000,0.5371,0.5371,0.5371,0.5371,1,50,0
32486400,0.5371,0.5371,0.5371,0.5371,1,50,0
32572800,0.5373,0.5373,0.5373,0.5373,1,50,0
32659200,0.5372,0.5372,0.5372,0.5372,1,50,0
32745600,0.5376,0.5376,0.5376,0.5376,1,50,0
33004800,0.5379,0.5379,0.5379,0.5379,1,50,0
33091200,0.5377,0.5377,0.5377,0.5377,1,50,0
33177600,0.5381,0.5381,0.5381,0.5381,1,50,0
33264000,0.5383,0.5383,0.5383,0.5383,1,50,0
33350400,0.5386,0.5386,0.5386,0.5386,1,50,0
33609600,0.5385,0.5385,0.5385,0.5385,1,50,0
33696000,0.5388,0.5388,0.5388,0.5388,1,50,0
33782400,0.5386,0.5386,0.5386,0.5386,1,50,0
33868800,0.5387,0.5387,0.5387,0.5387,1,50,0
33955200,0.5387,0.5387,0.5387,0.5387,1,50,0
34214400,0.5386,0.5386,0.5386,0.5386,1,50,0
34300800,0.5386,0.5386,0.5386,0.5386,1,50,0
34387200,0.5386,0.5386,0.5386,0.5386,1,50,0
34473600,0.5389,0.5389,0.5389,0.5389,1,50,0
34560000,0.5384,0.5384,0.5384,0.5384,1,50,0
34819200,0.5385,0.5385,0.5385,0.5385,1,50,0
34905600,0.5386,0.5386,0.5386,0.5386,1,50,0
34992000,0.5384,0.5384,0.5384,0.5384,1,50,0
35078400,0.5381,0.5381,0.5381,0.5381,1,50,0
35510400,0.5385,0.5385,0.5385,0.5385,1,50,0
35596800,0.5387,0.5387,0.5387,0.5387,1,50,0
35683200,0.5384,0.5384,0.5384,0.5384,1,50,0
35769600,0.5385,0.5385,0.5385,0.5385,1,50,0
36028800,0.5388,0.5388,0.5388,0.5388,1,50,0
36115200,0.5387,0.5387,0.5387,0.5387,1,50,0
